district,District_Population,Age_18_27_Total,Age_18_27_Proportion_Percent,Total_Drugs_Offenses,Drugs_Rate_Per_1K_Total_Pop
Friedrichshain-Kreuzberg,283887,31239,11,31683,111.6
Mitte,377941,51273,13.57,26445,69.97
Reinickendorf,263494,26166,9.93,11634,44.15
Neukoelln,329233,35232,10.7,14188,43.09
Tempelhof-Schoeneberg,348739,35090,10.06,8965,25.71
Charlottenburg-Wilmersdorf,338717,33511,9.89,8425,24.87
Spandau,242137,25190,10.4,4207,17.37
Treptow-Koepenick,264993,21472,8.1,3861,14.57
Pankow,402289,31804,7.91,5330,13.25
Lichtenberg,286242,27121,9.47,3559,12.43
Marzahn-Hellersdorf,266681,21335,8,3086,11.57
Steglitz-Zehlendorf,306576,28139,9.18,3116,10.16
